school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Bowman Elementary,Ackerman,2008-09,508,Natural Disasters & Weather,Inclement Weather,snow,13-Feb-09,2009,1,,Placer
Bowman Charter,Ackerman Elementary,2009-10,503,Natural Disasters & Weather,Inclement Weather,Snow,"December 7 and 8, 2009",2009,2,,Placer
Bowman Charter,Ackerman Elementary,2010-11,518,Natural Disasters & Weather,Inclement Weather,Low snow.,25-Feb-11,2011,1,,Placer
Agua Dulce Elementary,Acton-Agua Dulce Unified,2004-05,352,Natural Disasters & Weather,Inclement Weather,"Inclement weather (heavy rain) and road closures causing unsafe driving conditions for bussing, as well as communities that were trapped due to road closures.","January 10 and 11, 2005",2005,2,1.97531E+13,Los Angeles
Agua Dulce Elementary,Acton-Agua Dulce Unified,2008-09,301,Natural Disasters & Weather,Inclement Weather,Inclement weather (snow) and road closures caused unsafe road conditions.,"December 17-19, 2008",2008,3,1.97531E+13,Los Angeles
High Desert,Acton-Agua Dulce Unified,2004-05,558,Natural Disasters & Weather,Inclement Weather,"Inclement weather (heavy rain) and road closures causing unsafe driving conditions for bussing, as well as communities that were trapped due to road closures.","January 10 and 11, 2005",2005,2,1.97531E+13,Los Angeles
High Desert,Acton-Agua Dulce Unified,2008-09,462,Natural Disasters & Weather,Inclement Weather,Inclement weather (snow) and road closures caused unsafe road conditions.,"December 17-19, 2008",2008,3,1.97531E+13,Los Angeles
High Desert,Acton-Agua Dulce Unified,2016-17,272,Natural Disasters & Weather,Inclement Weather,"School closure, sever weither conditions, snow.",23-Jan-17,2017,1,1.97531E+13,Los Angeles
Meadowlark Elementary,Acton-Agua Dulce Unified,2004-05,488,Natural Disasters & Weather,Inclement Weather,"Inclement weather (heavy rain) and road closures causing unsafe driving conditions for bussing, as well as communities that were trapped due to road closures.","January 10 and 11, 2005",2005,2,1.97531E+13,Los Angeles
Meadowlark Elementary,Acton-Agua Dulce Unified,2008-09,428,Natural Disasters & Weather,Inclement Weather,Inclement weather (snow) and road closures caused unsafe road conditions.,"December 17-19, 2008",2008,3,1.97531E+13,Los Angeles
Meadowlark Elementary,Acton-Agua Dulce Unified,2016-17,463,Natural Disasters & Weather,Inclement Weather,"School closure, sever weither conditions, snow.",23-Jan-17,2017,1,1.97531E+13,Los Angeles
Vasquez High,Acton-Agua Dulce Unified,2004-05,588,Natural Disasters & Weather,Inclement Weather,"Inclement weather (heavy rain) and road closures causing unsafe driving conditions for bussing, as well as communities that were trapped due to road closures.","January 10 and 11, 2005",2005,2,1.97531E+13,Los Angeles
Vasquez High,Acton-Agua Dulce Unified,2008-09,616,Natural Disasters & Weather,Inclement Weather,Inclement weather (snow) and road closures caused unsafe road conditions.,"December 17-19, 2008",2008,3,1.97531E+13,Los Angeles
Vasquez High,Acton-Agua Dulce Unified,2016-17,359,Natural Disasters & Weather,Inclement Weather,"School closure, sever weither conditions, snow.",23-Jan-17,2017,1,1.97531E+13,Los Angeles
Adelanto Charter Academy,Adelanto Elementary,2009-10,4,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Adelanto Elementary,Adelanto Elementary,2008-09,568,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
Adelanto Elementary,Adelanto Elementary,2009-10,581,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Alta Vista Public,Adelanto Elementary,2009-10,171,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Columbia Middle,Adelanto Elementary,2008-09,623,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
Columbia Middle,Adelanto Elementary,2009-10,564,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Desert Trails Elementary,Adelanto Elementary,2008-09,697,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,,San Bernardino
Desert Trails Elementary,Adelanto Elementary,2009-10,677,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,,San Bernardino
Donald F. Bradach Elementary,Adelanto Elementary,2008-09,735,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
Donald F. Bradach Elementary,Adelanto Elementary,2009-10,684,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Eagle Ranch,Adelanto Elementary,2008-09,976,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,,San Bernardino
Eagle Ranch,Adelanto Elementary,2009-10,960,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,,San Bernardino
George Visual and Performing Arts Magnet and Middle,Adelanto Elementary,2008-09,517,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
George Visual and Performing Arts Magnet and Middle,Adelanto Elementary,2009-10,503,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools., , January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Mesa Linda Middle,Adelanto Elementary,2008-09,949,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
Mesa Linda Middle,Adelanto Elementary,2009-10,983,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Morgan/Kincaid Preparatory of Integrated Studies,Adelanto Elementary,2009-10,727,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools., , January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,,San Bernardino
