,INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_NAME,INCTYP_ABBREVIATION,FINAL_ACRES,CAUSE,COMPLEX,DISCOVERY_DATE,DISCOVERY_DOY,EXPECTED_CONTAINMENT_DATE,FATALITIES,FUEL_MODEL,INCIDENT_DESCRIPTION,INC_IDENTIFIER,INJURIES_TOTAL,LL_CONFIDENCE,LL_UPDATE,LOCAL_TIMEZONE,POO_CITY,POO_COUNTY,POO_LATITUDE,POO_LONGITUDE,POO_SHORT_LOCATION_DESC,POO_STATE,PROJECTED_FINAL_IM_COST,START_YEAR,SUPPRESSION_METHOD,STR_DAMAGED_TOTAL,STR_DAMAGED_COMM_TOTAL,STR_DAMAGED_RES_TOTAL,STR_DESTROYED_TOTAL,STR_DESTROYED_COMM_TOTAL,STR_DESTROYED_RES_TOTAL,FATALITIES_RESPONDER,FATALITIES_PUBLIC,FINAL_REPORT_DATE,INCIDENT_ID_OLD,INC_MGMT_NUM_SITREPS,EVACUATION_REPORTED,PEAK_EVACUATIONS,STR_THREATENED_MAX,STR_THREATENED_COMM_MAX,STR_THREATENED_RES_MAX,TOTAL_AERIAL_SUM,TOTAL_PERSONNEL_SUM,WF_PEAK_AERIAL,WF_PEAK_AERIAL_DATE,WF_PEAK_AERIAL_DOY,WF_PEAK_PERSONNEL,WF_PEAK_PERSONNEL_DATE,WF_PEAK_PERSONNEL_DOY,WF_CESSATION_DATE,WF_CESSATION_DOY,WF_MAX_FSR,WF_MAX_GROWTH_DATE,WF_MAX_GROWTH_DOY,WF_GROWTH_DURATION,SUP_SERIES,SUP_METHOD_INITIAL,SUP_METHOD_FINAL,SUP_PERCENT_FS,FODJ_INCIDENT_ID,FOD_ID_LIST,FOD_FIRE_NUM,MTBS_FIRE_LIST,FOD_DISCOVERY_DOY,FOD_CONTAIN_DOY,FOD_CAUSE,FOD_FINAL_ACRES,FOD_FIRE_LIST,FOD_COORD_LIST,FOD_COMPLEX_NAME,FOD_CAUSE_NUM,FOD_COORD_NUM,MTBS_FIRE_NUM,LRGST_FOD_ID,LRGST_FOD_LATITUDE,LRGST_FOD_LONGITUDE,LRGST_MTBS_FIRE_INFO,LRGST_FOD_COORDS,FIRED_ID,FIRED_ACRES,FIRED_SIMPLE_FSR,FIRED_MAX_GROWTH,FIRED_IG_LON,FIRED_IG_LAT
20,1999_AZ-AZS-99-0255_OLEARY CANYON,AZ-AZS-99-0255,OLEARY CANYON,WF,500,H,FALSE,4/12/99,102,4/13/99,0,,,,0,,,,,,31.55,-110.5166667,Sonoita six miles northwest,AZ,25000,1999,,0,0,0,0,0,0,,,4/12/99,,1,,,7,,7,,100,,4/12/99 0:00,102,100,4/12/99 0:00,102,4/12/99 0:00,102,500,4/12/99 0:00,102,0,[nan],,,0,1999_AZ-AZS-99-0255_OLEARY CANYON,[118595],1,,101,102,['Debris and open burning'],166,"[{'ID': 118595, 'COORDS': (31.63333333, -110.62166670000002), 'CAUSE': 'Debris and open burning', 'SIZE': 166.0, 'DISC': 101, 'CONT': 102.0}]","[(31.63333333, -110.62166670000002)]",,1,1,0,118595,31.63333333,-110.6216667,,"(31.63333333, -110.62166670000002)",,,,,,
24,1999_AZ-AZS-990590_CATARACT,AZ-AZS-990590,CATARACT,WFU,305,H,FALSE,6/26/99,177,7/1/99,0,,,,0,,,,,,35.516666666666666,-112.4333333,35 miles northwest of Williams,AZ,7033,1999,,0,0,0,0,0,0,,,7/2/99,,4,,,,,,,2,,6/28/99 0:00,179,1,6/28/99 0:00,179,6/28/99 0:00,179,152.5,6/28/99 0:00,179,2,"[nan, nan, nan, nan]",,,0,1999_AZ-AZS-990590_CATARACT,[1637607],1,,177,,['Missing data/not specified/undetermined'],310,"[{'ID': 1637607, 'COORDS': (35.5177, -112.4406), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 310.0, 'DISC': 177, 'CONT': 'unknown'}]","[(35.5177, -112.4406)]",,1,1,0,1637607,35.5177,-112.4406,,"(35.5177, -112.4406)",,,,,,
51,1999_AZ-SAP-9910_BOX CANYON,AZ-SAP-9910,BOX CANYON,WF,6476,L,FALSE,6/18/99,169,12-Jul,0,,,,0,,,,,,32.166666666666664,-110.6833333,east of Tucson,AZ,750000,1999,,0,0,0,0,0,0,,,7/15/99,,16,,,,,,21,640,3,6/22/99 0:00,173,68,6/20/99 0:00,171,6/25/99 0:00,176,2000,6/24/99 0:00,175,7,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,1999_AZ-SAP-9910_BOX CANYON,[243515],1,['AZ3217611066119990618-BOX CANYON'],169,,['Natural'],6476,"[{'ID': 243515, 'MTBS_ID': 'AZ3217611066119990618(BOX CANYON)', 'COORDS': (32.16982, -110.6784), 'CAUSE': 'Natural', 'SIZE': 6476.0, 'DISC': 169, 'CONT': 'unknown'}]","[(32.16982, -110.6784)]",,1,1,1,243515,32.16982,-110.6784,AZ3217611066119990618(BOX CANYON),"(32.16982, -110.6784)",,,,,,
52,1999_AZ-SCA-_FISH 2,AZ-SCA-,FISH 2,WF,120,H,FALSE,3/17/99,76,3/16/99,0,,,,0,,,,,,33.13333333333333,-110.1,Ten miles S/E of San Carlos,AZ,,1999,,0,0,0,0,0,0,,,3/17/99,,1,,,,,,,31,,3/17/99 0:00,76,31,3/17/99 0:00,76,3/17/99 0:00,76,120,3/17/99 0:00,76,0,[nan],,,0,1999_AZ-SCA-_FISH 2,[211950],1,,74,76,['Arson/incendiarism'],138,"[{'ID': 211950, 'COORDS': (33.1187, -110.1023), 'CAUSE': 'Arson/incendiarism', 'SIZE': 138.0, 'DISC': 74, 'CONT': 76.0}]","[(33.1187, -110.1023)]",,1,1,0,211950,33.1187,-110.1023,,"(33.1187, -110.1023)",,,,,,
56,1999_CA-ANF-4247_SHINN,CA-ANF-4247,SHINN,WF,600,H,FALSE,8/25/99,237,8/28 1800,0,,,,0,,,,,,34.166666666666664,-117.6833333,Upland,CA,,1999,,0,0,0,0,0,0,,,8/27/99,,2,,,,,,9,759,5,8/26/99 0:00,238,424,8/26/99 0:00,238,8/26/99 0:00,238,600,8/26/99 0:00,238,1,"[nan, nan]",,,0,1999_CA-ANF-4247_SHINN,[120881],1,,237,241,['Missing data/not specified/undetermined'],656,"[{'ID': 120881, 'COORDS': (34.1675, -117.6675), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 656.0, 'DISC': 237, 'CONT': 241.0}]","[(34.1675, -117.6675)]",,1,1,0,120881,34.1675,-117.6675,,"(34.1675, -117.6675)",,,,,,
57,1999_CA-ANF-4317_BRIDGE,CA-ANF-4317,BRIDGE,WF,7234,H,FALSE,8/29/99,241,,0,,,,0,,,,,,34.21666666666667,-117.8333333,HWY 39 NORTH OF CITY OF AZUSA,CA,4443166,1999,,0,0,0,3,0,3,,,9/6/99,,9,,,16,1,15,66,4094,10,9/4/99 0:00,247,1073,9/2/99 0:00,245,9/1/99 0:00,244,5500,9/1/99 0:00,244,3,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,1999_CA-ANF-4317_BRIDGE,[118197],1,['CA3423911786619990829-BRIDGE'],241,250,['Arson/incendiarism'],7200,"[{'ID': 118197, 'MTBS_ID': 'CA3423911786619990829(BRIDGE)', 'COORDS': (34.23361111, -117.85), 'CAUSE': 'Arson/incendiarism', 'SIZE': 7200.0, 'DISC': 241, 'CONT': 250.0}]","[(34.23361111, -117.85)]",,1,1,1,118197,34.23361111,-117.85,CA3423911786619990829(BRIDGE),"(34.23361111, -117.85)",,,,,,
58,1999_CA-ANF-5755_SANTA ANITA II,CA-ANF-5755,SANTA ANITA II,WF,750,H,FALSE,12/27/99,361,,0,,,,0,,,,,,34.18333333333333,-118.0166667,ARCADIA,CA,,1999,,0,0,0,0,0,0,,,2/3/00,,4,,,,,,21,3658,6,12/28/99 0:00,362,1000,12/28/99 0:00,362,12/28/99 0:00,362,750,12/28/99 0:00,362,1,"[nan, nan, nan, nan]",,,0,1999_CA-ANF-5755_SANTA ANITA II,[120903],1,,361,363,['Missing data/not specified/undetermined'],750,"[{'ID': 120903, 'COORDS': (34.18333333, -118.0172222), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 750.0, 'DISC': 361, 'CONT': 363.0}]","[(34.18333333, -118.0172222)]",,1,1,0,120903,34.18333333,-118.0172222,,"(34.18333333, -118.0172222)",,,,,,
59,1999_CA-BDF-5599_TURTLE,CA-BDF-5599,TURTLE,WF,3687,H,FALSE,7/25/99,206,07/28  1800,0,,,,0,,,,,,34.31666666666667,-117.5,I-15 Cajon Pass,CA,1633480,1999,,0,0,0,0,0,0,,,7/29/99,,5,,,35,,35,21,3965,7,7/25/99 0:00,206,1097,7/26/99 0:00,207,7/26/99 0:00,207,3087,7/26/99 0:00,207,1,"[nan, nan, nan, nan, nan]",,,0,1999_CA-BDF-5599_TURTLE,[122138],1,['CA3437511753019990725-TURTLE'],206,209,['Equipment and vehicle use'],4035,"[{'ID': 122138, 'MTBS_ID': 'CA3437511753019990725(TURTLE)', 'COORDS': (34.35083333, -117.5275), 'CAUSE': 'Equipment and vehicle use', 'SIZE': 4035.0, 'DISC': 206, 'CONT': 209.0}]","[(34.35083333, -117.5275)]",,1,1,1,122138,34.35083333,-117.5275,CA3437511753019990725(TURTLE),"(34.35083333, -117.5275)",,,,,,
60,1999_CA-BDF-6337_330,CA-BDF-6337,330,WF,150,H,FALSE,8/22/99,234,8/23/99,0,,,,0,H,TRUE,,,,34.1675,-34.1675,HIGHLAND,CA,,1999,,0,0,0,0,0,0,,,8/24/99,,3,,,,,,6,900,3,8/23/99 0:00,235,300,8/22/99 0:00,234,8/22/99 0:00,234,150,8/22/99 0:00,234,0,"[nan, nan, nan]",,,0,1999_CA-BDF-6337_330,[122147],1,,234,235,['Equipment and vehicle use'],150,"[{'ID': 122147, 'COORDS': (34.1675, -117.1688889), 'CAUSE': 'Equipment and vehicle use', 'SIZE': 150.0, 'DISC': 234, 'CONT': 235.0}]","[(34.1675, -117.1688889)]",,1,1,0,122147,34.1675,-117.1688889,,"(34.1675, -117.1688889)",,,,,,
61,1999_CA-BDF-6545_WILLOW,CA-BDF-6545,WILLOW,WF,63486,O,FALSE,8/28/99,240,9/4/99,0,,,,0,,,,,,34.3,-117.1833333,Lake Arrowhead,CA,11871143,1999,,0,0,0,30,0,19,,,9/17/99,,9,,,,,,79,14233,13,9/1/99 0:00,244,2733,9/2/99 0:00,245,9/2/99 0:00,245,15037.5,9/1/99 0:00,244,5,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,1999_CA-BDF-6545_WILLOW,[123453],1,['CA3434511710619990828-WILLOW'],240,249,['Missing data/not specified/undetermined'],65000,"[{'ID': 123453, 'MTBS_ID': 'CA3434511710619990828(WILLOW)', 'COORDS': (34.2675, -117.13472220000001), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 65000.0, 'DISC': 240, 'CONT': 249.0}]","[(34.2675, -117.13472220000001)]",,1,1,1,123453,34.2675,-117.1347222,CA3434511710619990828(WILLOW),"(34.2675, -117.13472220000001)",,,,,,
